course_id;codigo;turma;descricao;horario;professor
"1";"CCN7002";"04301";"Administração de Custos";"5.1010-2 / CSE-CSE009
6.1010-2 / CSE-CSE009";"Erves Ducati"
"1";"CIN7002";"02301";"Metodologia da Pesquisa Bibliográfica";"3.1010-2 / CSE-CSE011";"Ana Claudia Perpétuo de Oliveira da Silva"
"1";"CNM5145";"01301";"Teoria Econômica";"3.0820-2 / CSE-CSE012
5.0820-2 / CSE-CSE012";"Rosangela Aparecida da Silva"
"1";"CNM7102";"07301";"Mercado de Capitais";"2.0820-2 / AUX-ALOCAR
6.1010-2 / AUX-ALOCAR";"Alexandre Schwinden Garcia"
"1";"DIR7001";"02301";"Direito Administrativo";"4.1010-2 / CSE-CSE011";"Rodolfo Joaquim Pinto da Luz"
"1";"DIR7002";"03301";"Direito Empresarial";"4.0820-2 / CSE-CSE001
6.1010-2 / CSE-CSE001";"Melissa Ely Melo"
"1";"EGC5019";"10301";"Ambientes Virtuais de Aprendizagem";"4.1420-2 / CSE-CSE012
7.0820-2 / AUX-ALOCAR";"Marcio Vieira de Souza"
"1";"EPS7042";"04301";"Introdução a Pesquisa Operacional";"3.0820-2 / CSE-CSE009
5.0820-2 / CSE-CSE009";"Lynceo Falavigna Braghirolli"
"1";"FIL7102";"01301";"Estudos Filosóficos";"6.0820-2 / CSE-CSE012";"Maria Alice da Silva"
"1";"INE7001";"02301";"Estatística para Administradores I";"2.0820-2 / CSE-CSE011
5.1010-2 / CSE-CSE011";"Marcelo Menezes Reis"
"1";"INE7002";"03301";"Estatística para Administradores II";"2.1010-2 / CSE-CSE001
4.1010-2 / CSE-CSE001";"Simone Daniela Sartorio de Medeiros"
"1";"MTM3100";"01301";"Pré-Cálculo";"3.1010-2 / EF1-EFI404
6.1010-2 / EF1-EFI404";"Maicon Marques Alves"
"1";"MTM3561";"03301";"Matemática Financeira";"3.0820-2 / EF1-EFI203
5.0820-2 / EF1-EFI203";"Vinícius Viana Luiz Albani"
"1";"PSI7002";"04301";"Psicologia Organizacional";"4.1010-2 / CSE-CSE009
6.0820-2 / CSE-CSE009";"Davi Baasch"
"1";"SPO7001";"01301";"Ciência Política";"5.1010-2 / CSE-CSE012";"Professor Não Informado"
"1";"SPO7003";"04301";"Sociologia Aplicada";"3.1010-2 / CSE-CSE009";"José Pedro Simões Neto"
"1";"CAD5000";"09316";"Programa de Intercâmbio I";"";"Professor Não Informado"
"1";"CAD7001";"01316";"Introdução a Administração";"2.2020-2 / CSE-CSE012
5.2020-2 / CSE-CSE012";"Kellen da Silva Coelho"
"1";"CAD7002";"02316";"Teorias da Administração";"3.1830-2 / CSE-CSE011
5.1830-2 / CSE-CSE011";"Raphael Schlickmann"
"1";"CAD7003";"03316";"Administração da Comunicação";"5.1830-2 / CSE-CSE001";"Marco Antonio de Moraes Ocke"
"1";"CAD7004";"04316";"Cultura Empreendedora e Criatividade";"3.1830-2 / CSE-CSE109
5.1830-2 / CSE-CSE009";"Pedro Antonio de Melo"
"1";"CAD7103";"03316";"Formação Profissional Inovação e Conhecimento";"3.1830-2 / CSE-CSE001";"Sérgio Luís Boeira"
"1";"CAD7104";"04316";"Formação Profissional Governança";"2.2020-2 / CSE-CSE009";"Irineu Manoel de Souza"
"1";"CAD7105";"01316";"Formação Profissional Sustentabilidade, Responsabilidade Social Coorporativa (RSC) e Ética Empres.";"2.1830-2 / CSE-CSE012
4.1830-2 / CSE-CSE012";"Evelize Welzel
Flora Moritz da Silva"
"1";"CAD7114";"06316";"Administração da Produção I";"5.2020-2 / CSE-CSE103
6.2020-2 / CSE-CSE103";"Walter Vicente Gomes Filho"
"1";"CAD7122";"07316";"Administração da Produção II";"2.1830-2 / CSE-CSE213
5.1830-2 / CSE-CSE213";"Ricardo Niehues Buss"
"1";"CAD7131";"05316";"Administração Financeira I";"3.2020-2 / CSE-CSE102
5.1830-2 / CSE-CSE102";"André Luís da Silva Leite"
"1";"CAD7132";"06316";"Administração Financeira II";"3.1830-2 / CSE-CSE103
5.1830-2 / CSE-CSE103";"Walter Vicente Gomes Filho"
"1";"CAD7138";"05316";"Administração de Recursos Humanos I";"4.1830-2 / CSE-CSE102
6.2020-2 / CSE-CSE102";"Maurício Carreira Cosentino"
"1";"CAD7139";"06316";"Administração de Recursos Humanos II";"2.1830-2 / CSE-CSE103
4.1830-2 / CSE-CSE103";"Marcos Baptista Lopez Dalmau"
"1";"CAD7213";"03316";"Organização, Sistemas e Métodos";"4.2020-2 / CSE-CSE001
6.2020-2 / CSE-CSE001";"Flora Moritz da Silva"
"1";"CAD7218";"05316";"Administração de Marketing";"3.1830-2 / CSE-CSE102
6.1830-2 / CSE-CSE102";"Marco Antonio de Moraes Ocke"
"1";"CAD7219";"05316";"Administração de Materiais";"2.2020-2 / CSE-CSE102
4.2020-2 / CSE-CSE102";"Andressa Sasaki Vasques Pacheco"
"1";"CAD7220";"08316";"Logística e Cadeia de Suprimentos";"4.1830-2 / CSE-CSE214
5.1830-2 / CSE-CSE214";"Allan Augusto Platt"
"1";"CAD7222";"06316";"Administração da Tecnologia da Informação e Comunicação";"2.2020-2 / CSE-CSE103
4.2020-2 / CSE-CSE103";"Mario de Souza Almeida"
"1";"CAD7225";"07316";"Pesquisa Mercadológica";"2.2020-2 / CSE-CSE213
5.2020-2 / CSE-CSE213";"Flora Moritz da Silva"
"1";"CAD7226";"09316";"processo Decisório";"3.1830-2 / CSE-CSE215
4.2020-2 / CSE-CSE215";"Helen Fischer Günther"
"1";"CAD7228";"08316";"Planejamento Financeiro e Orçamentário";"2.2020-2 / CSE-CSE214
4.2020-2 / CSE-CSE214";"Ani Caroline Grigion Potrich"
"1";"CAD7231";"08316";"Administração de Projetos";"2.1830-2 / CSE-CSE214
3.2020-2 / CSE-CSE214";"Marcos Abílio Bosquetti"
"1";"CAD7232";"08316";"Estratégia Mercadológica";"3.1830-2 / CSE-CSE214
5.2020-2 / CSE-CSE214";"Maurício Carreira Cosentino"
"1";"CAD7233";"07316";"Desenvolvimento de Recursos Humanos";"3.2020-2 / CSE-CSE213";"Kellen da Silva Coelho"
"1";"CAD7234";"09316";"Administração Estratégica";"2.2020-2 / CSE-CSE215
4.1830-2 / CSE-CSE215";"Maria Aparecida Silva Alves"
"1";"CAD7235";"09316";"Empreendimentos e Modelos de Negociação";"2.1830-2 / CSE-CSE215
3.2020-2 / CSE-CSE215";"Joana Stelzer"
"1";"CAD7303";"07316";"Laboratório de Gestão: Prática Profissional";"3.1830-2 / CSE-CSE213
4.1830-2 / CSE-CSE213";"Claudelino Martins Dias Junior"
"1";"CAD7304";"08316";"Laboratório de Gestão: Projeto de Trabalho de Curso";"6.1830-2 / CSE-CSE214";"Paulo Otolini Garrido"
"1";"CAD7305";"09316";"Laboratório de Gestão: Trabalho de Curso";"";"Marcia Barros de Sales"
"1";"CAD7715";"05316";"Laboratório de Gestão - Administração Pública e Desenvolvimento";"2.1830-2 / CSE-CSE102
5.2020-2 / CSE-CSE102";"Bernardo Meyer"
"1";"CAD7812";"10316";"Gestão de Comércio Exterior";"3.1830-2 / CSE-CSE009";"Joana Stelzer"
"1";"CAD7817";"10316";"Seminário em Administração I";"5.2020-2 / CSE-CSE001";"Professor Não Informado"
"1";"CAD7818";"10316";"Seminário em Administração II";"2.1830-2 / AUX-ALOCAR";"Mario de Souza Almeida"
"1";"CAD7819";"10316";"Seminário em Administração III";"5.1830-2 / CSE-CSE209";"Rebeca de Moraes Ribeiro de Barcellos"
"1";"CAD7826";"06316";"Laboratório de Gestão: Organização da Sociedade Civil";"3.2020-2 / CSE-CSE103
6.1830-2 / CSE-CSE103";"Sérgio Luís Boeira"
"1";"CCN7001";"02316";"Contabilidade Aplicada à Administração";"3.2020-2 / CSE-CSE011
5.2020-2 / CSE-CSE011";"Monique Cristiane de Oliveira"
"1";"CCN7002";"04316";"Administração de Custos";"3.2020-2 / CSE-CSE009
5.2020-2 / CSE-CSE009";"Luiza Santangelo Reis"
"1";"CIN7002";"02316";"Metodologia da Pesquisa Bibliográfica";"2.1830-2 / CSE-CSE011";"Laila Figueiredo di Pietro"
"1";"CNM5145";"01316";"Teoria Econômica";"3.1830-2 / CSE-CSE012
5.1830-2 / CSE-CSE012";"Luiz Carlos de Carvalho Junior"
"1";"CNM7102";"07316";"Mercado de Capitais";"4.2020-2 / AUX-ALOCAR
6.2020-2 / AUX-ALOCAR";"Alexandre Schwinden Garcia"
"1";"DIR7001";"02316";"Direito Administrativo";"4.1830-2 / CSE-CSE011";"Rodolfo Joaquim Pinto da Luz"
"1";"DIR7002";"03316";"Direito Empresarial";"3.2020-2 / CSE-CSE001
6.1830-2 / CSE-CSE001";"Melissa Ely Melo"
